countyName,ccsName,nHosp
Alameda,Complications of surgical procedures or medical care,1654
Alameda,Conditions associated with dizziness or vertigo,128
Alameda,Conduction disorders,265
Alameda,Congestive heart failure; nonhypertensive,2826
Alameda,Coronary atherosclerosis and other heart disease,1020
Alameda,Crushing injury or internal injury,379
Alameda,Cystic fibrosis,36
Alameda,Deficiency and other anemia,542
Alameda,"Delirium, dementia, and amnestic and other cognitive disorders",234
Alameda,Diabetes mellitus with complications,1934
Alameda,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,1049
Alameda,Digestive congenital anomalies,74
Alameda,Diseases of mouth; excluding dental,77
Alameda,Diseases of white blood cells,215
Alameda,Disorders of teeth and jaw,102
Alameda,"Disorders usually diagnosed in infancy, childhood, or adolescence",31
Alameda,Diverticulosis and diverticulitis,807
Alameda,Early or threatened labor,621
Alameda,Ectopic pregnancy,70
Alameda,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),57
Alameda,Endometriosis,46
Alameda,Epilepsy; convulsions,876
Alameda,Esophageal disorders,455
Alameda,Essential hypertension,108
Alameda,Fetal distress and abnormal forces of labor,707
Alameda,Fetopelvic disproportion; obstruction,204
Alameda,Fever of unknown origin,119
Alameda,Fluid and electrolyte disorders,1291
Alameda,Fracture of lower limb,964
Alameda,Fracture of neck of femur (hip),1115
Alameda,Fracture of upper limb,524
Alameda,Gangrene,119
Alameda,Gastritis and duodenitis,344
Alameda,Gastroduodenal ulcer (except hemorrhage),127
Alameda,Gastrointestinal hemorrhage,1212
Alameda,Genitourinary congenital anomalies,43
Alameda,Genitourinary symptoms and ill-defined conditions,98
Alameda,Gout and other crystal arthropathies,92
Alameda,Headache; including migraine,217
Alameda,Heart valve disorders,493
Alameda,Hemolytic jaundice and perinatal jaundice,427
Alameda,Hemorrhage during pregnancy; abruptio placenta; placenta previa,292
Alameda,Hemorrhoids,86
Alameda,Hepatitis,80
Alameda,HIV infection,105
Alameda,Hyperplasia of prostate,96
Alameda,Hypertension with complications and secondary hypertension,1391
Alameda,Immunity disorders,21
Alameda,"Impulse control disorders, NEC",36
Alameda,Induced abortion,25
Alameda,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),359
Alameda,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),41
Alameda,Inflammatory conditions of male genital organs,71
Alameda,Inflammatory diseases of female pelvic organs,139
Alameda,Influenza,227
Alameda,Intestinal infection,534
Alameda,Intestinal obstruction without hernia,1172
Alameda,Intracranial injury,975
Alameda,Intrauterine hypoxia and birth asphyxia,42
Alameda,Joint disorders and dislocations; trauma-related,74
Alameda,Late effects of cerebrovascular disease,765
Alameda,Leukemias,173
Alameda,Lung disease due to external agents,40
Alameda,Lymphadenitis,66
Alameda,Maintenance chemotherapy; radiotherapy,857
Alameda,Malaise and fatigue,174
Alameda,Malignant neoplasm without specification of site,43
Alameda,Malposition; malpresentation,630
Alameda,Medical examination/evaluation,29
Alameda,Meningitis (except that caused by tuberculosis or sexually transmitted disease),101
Alameda,Menstrual disorders,48
Alameda,Miscellaneous mental health disorders,193
Alameda,Mood disorders,3619
Alameda,Multiple myeloma,74
Alameda,Multiple sclerosis,63
Alameda,Mycoses,73
Alameda,Nausea and vomiting,104
Alameda,Neoplasms of unspecified nature or uncertain behavior,123
Alameda,Nephritis; nephrosis; renal sclerosis,72
Alameda,Nervous system congenital anomalies,75
Alameda,Non-Hodgkin`s lymphoma,157
Alameda,Noninfectious gastroenteritis,262
Alameda,Nonmalignant breast conditions,64
Alameda,Nonspecific chest pain,543
Alameda,Nutritional deficiencies,50
Alameda,Occlusion or stenosis of precerebral arteries,141
Alameda,Open wounds of extremities,173
Alameda,Open wounds of head; neck; and trunk,186
Alameda,Osteoarthritis,3778
Alameda,Other acquired deformities,213
Alameda,Other aftercare,492
Alameda,Other and ill-defined cerebrovascular disease,74
Alameda,Other and ill-defined heart disease,38
Alameda,Other and unspecified benign neoplasm,485
Alameda,Other bone disease and musculoskeletal deformities,185
Alameda,Other circulatory disease,261
Alameda,Other CNS infection and poliomyelitis,37
Alameda,Other congenital anomalies,198
Alameda,Other connective tissue disease,421
Alameda,Other diseases of bladder and urethra,57
Alameda,Other diseases of kidney and ureters,279
Alameda,Other diseases of veins and lymphatics,72
Alameda,Other disorders of stomach and duodenum,145
Alameda,Other ear and sense organ disorders,26
Alameda,Other endocrine disorders,264
Alameda,Other eye disorders,47
Alameda,Other female genital disorders,101
Alameda,Other fractures,863
Alameda,Other gastrointestinal disorders,690
Alameda,Other hereditary and degenerative nervous system conditions,94
Alameda,Other inflammatory condition of skin,51
Alameda,Other injuries and conditions due to external causes,367
Alameda,Other liver diseases,453
Alameda,Other lower respiratory disease,340
Alameda,Other male genital disorders,24
Alameda,Other nervous system disorders,1010
Alameda,Other non-epithelial cancer of skin,26
Alameda,Other non-traumatic joint disorders,101
Alameda,Other nutritional; endocrine; and metabolic disorders,635
Alameda,Other perinatal conditions,292
Alameda,Other pregnancy and delivery including normal,312
Alameda,Other screening for suspected conditions (not mental disorders or infectious disease),42
Alameda,Other skin disorders,62
Alameda,Other upper respiratory disease,156
Alameda,Other upper respiratory infections,225
Alameda,Otitis media and related conditions,40
Alameda,Ovarian cyst,70
Alameda,Pancreatic disorders (not diabetes),994
Alameda,Paralysis,126
Alameda,Parkinson`s disease,74
Alameda,Pathological fracture,174
Alameda,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),335
Alameda,Peripheral and visceral atherosclerosis,320
Alameda,Peritonitis and intestinal abscess,112
Alameda,Phlebitis; thrombophlebitis and thromboembolism,253
Alameda,Pleurisy; pneumothorax; pulmonary collapse,340
Alameda,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),2010
Alameda,Poisoning by nonmedicinal substances,59
Alameda,Poisoning by other medications and drugs,293
Alameda,Poisoning by psychotropic agents,80
Alameda,Prolapse of female genital organs,90
Alameda,Pulmonary heart disease,590
Alameda,Regional enteritis and ulcerative colitis,331
Alameda,Residual codes; unclassified,322
Alameda,Respiratory failure; insufficiency; arrest (adult),1763
Alameda,Rheumatoid arthritis and related disease,49
Alameda,Schizophrenia and other psychotic disorders,2665
Alameda,Secondary malignancies,709
Alameda,Septicemia (except in labor),9095
Alameda,Sexually transmitted infections (not HIV or hepatitis),30
Alameda,Shock,39
Alameda,Short gestation; low birth weight; and fetal growth retardation,49
Alameda,Sickle cell anemia,372
Alameda,Skin and subcutaneous tissue infections,1825
Alameda,Skull and face fractures,238
Alameda,Spinal cord injury,66
Alameda,Spondylosis; intervertebral disc disorders; other back problems,1535
Alameda,Spontaneous abortion,41
Alameda,Sprains and strains,71
Alameda,Substance-related disorders,455
Alameda,Suicide and intentional self-inflicted injury,264
Alameda,Superficial injury; contusion,175
Alameda,Syncope,361
Alameda,Systemic lupus erythematosus and connective tissue disorders,167
Alameda,Thyroid disorders,63
Alameda,Transient cerebral ischemia,366
Alameda,Tuberculosis,70
Alameda,Umbilical cord complication,508
Alameda,Urinary tract infections,1394
Alameda,Viral infection,189
Alameda,NA,29
Amador,Abdominal hernia,47
Amador,Acute and unspecified renal failure,58
Amador,Acute bronchitis,22
Amador,Acute cerebrovascular disease,99
Amador,Acute myocardial infarction,118
Amador,Alcohol-related disorders,45
Amador,Appendicitis and other appendiceal conditions,44
Amador,Biliary tract disease,62
Amador,Cardiac dysrhythmias,89
Amador,Chronic obstructive pulmonary disease and bronchiectasis,60
Amador,Complication of device; implant or graft,102
Amador,Complications of surgical procedures or medical care,66
Amador,Congestive heart failure; nonhypertensive,100
Amador,Coronary atherosclerosis and other heart disease,71
Amador,Diabetes mellitus with complications,60
Amador,Diverticulosis and diverticulitis,40
Amador,Epilepsy; convulsions,25
Amador,Fluid and electrolyte disorders,30
Amador,Fracture of lower limb,30
Amador,Fracture of neck of femur (hip),54
Amador,Fracture of upper limb,24
Amador,Gastrointestinal hemorrhage,51
Amador,Heart valve disorders,28
Amador,Hypertension with complications and secondary hypertension,27
Amador,Intestinal infection,25
Amador,Intestinal obstruction without hernia,63
Amador,Intracranial injury,31
Amador,Maintenance chemotherapy; radiotherapy,22
Amador,Mood disorders,141
Amador,Noninfectious gastroenteritis,32
Amador,Nonspecific chest pain,65
Amador,Osteoarthritis,192
Amador,Other aftercare,23
Amador,Other fractures,44
Amador,Other gastrointestinal disorders,35
Amador,Other injuries and conditions due to external causes,32
Amador,Other nervous system disorders,34
Amador,Other nutritional; endocrine; and metabolic disorders,36
Amador,Pancreatic disorders (not diabetes),41
Amador,Peripheral and visceral atherosclerosis,31
Amador,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),93
Amador,Poisoning by other medications and drugs,23
Amador,Pulmonary heart disease,41
Amador,Respiratory failure; insufficiency; arrest (adult),49
Amador,Schizophrenia and other psychotic disorders,47
Amador,Secondary malignancies,26
Amador,Septicemia (except in labor),386
Amador,Skin and subcutaneous tissue infections,96
Amador,Spondylosis; intervertebral disc disorders; other back problems,93
Amador,Suicide and intentional self-inflicted injury,24
Amador,Urinary tract infections,54
Butte,Abdominal hernia,188
Butte,Abdominal pain,145
Butte,Acute and unspecified renal failure,531
Butte,Acute bronchitis,101
Butte,Acute cerebrovascular disease,583
Butte,Acute myocardial infarction,479
Butte,Acute posthemorrhagic anemia,36
Butte,Adjustment disorders,167
Butte,Alcohol-related disorders,238
Butte,Allergic reactions,29
Butte,Anal and rectal conditions,34
Butte,Anxiety disorders,130
Butte,Aortic and peripheral arterial embolism or thrombosis,25
Butte,Aortic; peripheral; and visceral artery aneurysms,56
Butte,Appendicitis and other appendiceal conditions,151
Butte,Aspiration pneumonitis; food/vomitus,155
Butte,Asthma,78
Butte,Benign neoplasm of uterus,40
Butte,Biliary tract disease,358
Butte,Burns,21
Butte,Calculus of urinary tract,62
Butte,Cancer of brain and nervous system,21
Butte,Cancer of breast,53
Butte,Cancer of bronchus; lung,93
Butte,Cancer of colon,72
Butte,Cancer of head and neck,34
Butte,Cancer of kidney and renal pelvis,33
Butte,Cancer of pancreas,26
Butte,Cancer of prostate,63
Butte,Cancer of rectum and anus,37
Butte,Cancer of uterus,22
Butte,Cardiac and circulatory congenital anomalies,41
Butte,Cardiac arrest and ventricular fibrillation,22
Butte,Cardiac dysrhythmias,713
Butte,Chronic obstructive pulmonary disease and bronchiectasis,606
Butte,Chronic ulcer of skin,32
Butte,Coagulation and hemorrhagic disorders,37
Butte,Complication of device; implant or graft,532
Butte,Complications of surgical procedures or medical care,470
Butte,Conditions associated with dizziness or vertigo,85
Butte,Conduction disorders,60
Butte,Congestive heart failure; nonhypertensive,915
Butte,Coronary atherosclerosis and other heart disease,340
Butte,Crushing injury or internal injury,91
Butte,Deficiency and other anemia,113
Butte,"Delirium, dementia, and amnestic and other cognitive disorders",77
Butte,Diabetes mellitus with complications,491
Butte,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,142
Butte,Diseases of white blood cells,38
Butte,Disorders of teeth and jaw,26
Butte,Diverticulosis and diverticulitis,198
Butte,Early or threatened labor,80
Butte,Epilepsy; convulsions,363
Butte,Esophageal disorders,267
Butte,Essential hypertension,109
Butte,Fetal distress and abnormal forces of labor,85
Butte,Fetopelvic disproportion; obstruction,63
Butte,Fever of unknown origin,27
Butte,Fluid and electrolyte disorders,262
Butte,Fracture of lower limb,286
Butte,Fracture of neck of femur (hip),359
Butte,Fracture of upper limb,154
Butte,Gastritis and duodenitis,145
Butte,Gastroduodenal ulcer (except hemorrhage),66
Butte,Gastrointestinal hemorrhage,415
Butte,Genitourinary symptoms and ill-defined conditions,40
Butte,Headache; including migraine,97
Butte,Heart valve disorders,107
Butte,Hemolytic jaundice and perinatal jaundice,60
Butte,Hemorrhage during pregnancy; abruptio placenta; placenta previa,23
Butte,Hemorrhoids,29
Butte,Hepatitis,22
Butte,Hyperplasia of prostate,24
Butte,Hypertension with complications and secondary hypertension,330
Butte,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),103
Butte,Inflammatory conditions of male genital organs,21
Butte,Influenza,28
Butte,Intestinal infection,233
Butte,Intestinal obstruction without hernia,349
Butte,Intracranial injury,146
Butte,Joint disorders and dislocations; trauma-related,42
Butte,Late effects of cerebrovascular disease,130
Butte,Leukemias,22
Butte,Maintenance chemotherapy; radiotherapy,84
Butte,Malaise and fatigue,70
Butte,Malposition; malpresentation,101
Butte,Meningitis (except that caused by tuberculosis or sexually transmitted disease),29
Butte,Menstrual disorders,55
Butte,Mood disorders,741
Butte,Nausea and vomiting,83
Butte,Neoplasms of unspecified nature or uncertain behavior,30
Butte,Non-Hodgkin`s lymphoma,46
Butte,Noninfectious gastroenteritis,116
Butte,Nonspecific chest pain,578
Butte,Occlusion or stenosis of precerebral arteries,68
Butte,Open wounds of extremities,41
Butte,Open wounds of head; neck; and trunk,28
Butte,Osteoarthritis,818
Butte,Other acquired deformities,78
Butte,Other aftercare,220
Butte,Other and ill-defined cerebrovascular disease,22
Butte,Other and unspecified benign neoplasm,68
Butte,Other bone disease and musculoskeletal deformities,95
Butte,Other circulatory disease,67
Butte,Other congenital anomalies,26
Butte,Other connective tissue disease,151
Butte,Other diseases of kidney and ureters,141
Butte,Other diseases of veins and lymphatics,21
Butte,Other disorders of stomach and duodenum,79
Butte,Other endocrine disorders,51
Butte,Other female genital disorders,32
Butte,Other fractures,310
Butte,Other gastrointestinal disorders,190
Butte,Other injuries and conditions due to external causes,100
Butte,Other liver diseases,163
Butte,Other lower respiratory disease,79
Butte,Other nervous system disorders,480
Butte,Other non-traumatic joint disorders,50
Butte,Other nutritional; endocrine; and metabolic disorders,210
Butte,Other perinatal conditions,40
Butte,Other pregnancy and delivery including normal,68
Butte,Other upper respiratory disease,31
Butte,Other upper respiratory infections,45
Butte,Pancreatic disorders (not diabetes),242
Butte,Paralysis,24
Butte,Pathological fracture,89
Butte,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),55
Butte,Peripheral and visceral atherosclerosis,86
Butte,Phlebitis; thrombophlebitis and thromboembolism,109
Butte,Pleurisy; pneumothorax; pulmonary collapse,101
Butte,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),611
Butte,Poisoning by nonmedicinal substances,128
Butte,Poisoning by other medications and drugs,190
Butte,Poisoning by psychotropic agents,147
Butte,Prolapse of female genital organs,36
Butte,Pulmonary heart disease,190
Butte,Regional enteritis and ulcerative colitis,90
Butte,Residual codes; unclassified,39
Butte,Respiratory failure; insufficiency; arrest (adult),382
Butte,Schizophrenia and other psychotic disorders,355
Butte,Secondary malignancies,125
Butte,Septicemia (except in labor),4525
Butte,Shock,23
Butte,Skin and subcutaneous tissue infections,533
Butte,Skull and face fractures,68
Butte,Spondylosis; intervertebral disc disorders; other back problems,444
Butte,Sprains and strains,37
Butte,Substance-related disorders,133
Butte,Suicide and intentional self-inflicted injury,127
Butte,Superficial injury; contusion,36
Butte,Syncope,166
Butte,Thyroid disorders,27
Butte,Transient cerebral ischemia,210
Butte,Umbilical cord complication,103
Butte,Urinary tract infections,335
Butte,Viral infection,57
Calaveras,Abdominal hernia,24
Calaveras,Acute and unspecified renal failure,60
Calaveras,Acute cerebrovascular disease,81
Calaveras,Acute myocardial infarction,116
Calaveras,Alcohol-related disorders,36
Calaveras,Appendicitis and other appendiceal conditions,23
Calaveras,Biliary tract disease,47
Calaveras,Cancer of bronchus; lung,28
Calaveras,Cardiac dysrhythmias,75
Calaveras,Chronic obstructive pulmonary disease and bronchiectasis,72
Calaveras,Complication of device; implant or graft,105
Calaveras,Complications of surgical procedures or medical care,87
Calaveras,Congestive heart failure; nonhypertensive,103
Calaveras,Coronary atherosclerosis and other heart disease,47
Calaveras,Diabetes mellitus with complications,84
Calaveras,Diverticulosis and diverticulitis,42
Calaveras,Epilepsy; convulsions,30
Calaveras,Fluid and electrolyte disorders,36
Calaveras,Fracture of lower limb,51
Calaveras,Fracture of neck of femur (hip),60
Calaveras,Fracture of upper limb,30
Calaveras,Gastrointestinal hemorrhage,61
Calaveras,Heart valve disorders,32
Calaveras,Hypertension with complications and secondary hypertension,30
Calaveras,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),21
Calaveras,Intestinal infection,34
Calaveras,Intestinal obstruction without hernia,50
Calaveras,Intracranial injury,30
Calaveras,Maintenance chemotherapy; radiotherapy,23
Calaveras,Mood disorders,71
Calaveras,Noninfectious gastroenteritis,25
Calaveras,Osteoarthritis,278
Calaveras,Other aftercare,29
Calaveras,Other fractures,53
Calaveras,Other gastrointestinal disorders,37
Calaveras,Other injuries and conditions due to external causes,21
Calaveras,Other nervous system disorders,37
Calaveras,Other nutritional; endocrine; and metabolic disorders,27
Calaveras,Pancreatic disorders (not diabetes),30
Calaveras,Peripheral and visceral atherosclerosis,25
Calaveras,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),96
Calaveras,Pulmonary heart disease,31
Calaveras,Respiratory failure; insufficiency; arrest (adult),106
Calaveras,Schizophrenia and other psychotic disorders,54
Calaveras,Secondary malignancies,26
Calaveras,Septicemia (except in labor),347
Calaveras,Skin and subcutaneous tissue infections,89
Calaveras,Spondylosis; intervertebral disc disorders; other back problems,91
Calaveras,Urinary tract infections,37
CALIFORNIA,Abdominal hernia,18038
CALIFORNIA,Abdominal pain,9732
CALIFORNIA,Acquired foot deformities,519
CALIFORNIA,Acute and chronic tonsillitis,2722
CALIFORNIA,Acute and unspecified renal failure,42449
CALIFORNIA,Acute bronchitis,13435
CALIFORNIA,Acute cerebrovascular disease,64943
CALIFORNIA,Acute myocardial infarction,60147
CALIFORNIA,Acute posthemorrhagic anemia,3772
CALIFORNIA,Adjustment disorders,3287
CALIFORNIA,Administrative/social admission,351
CALIFORNIA,Alcohol-related disorders,42269
CALIFORNIA,Allergic reactions,2440
CALIFORNIA,Anal and rectal conditions,5014
CALIFORNIA,Anxiety disorders,3424
CALIFORNIA,Aortic and peripheral arterial embolism or thrombosis,2036
CALIFORNIA,Aortic; peripheral; and visceral artery aneurysms,6990
CALIFORNIA,Appendicitis and other appendiceal conditions,32655
CALIFORNIA,Aspiration pneumonitis; food/vomitus,16205
CALIFORNIA,Asthma,18468
CALIFORNIA,"Attention-deficit, conduct, and disruptive behavior disorders",629
CALIFORNIA,Bacterial infection; unspecified site,2461
CALIFORNIA,Benign neoplasm of uterus,14124
CALIFORNIA,Biliary tract disease,49886
CALIFORNIA,Birth trauma,106
CALIFORNIA,Blindness and vision defects,449
CALIFORNIA,Burns,3387
CALIFORNIA,Calculus of urinary tract,4452
CALIFORNIA,Cancer of bladder,2541
CALIFORNIA,Cancer of bone and connective tissue,1615
CALIFORNIA,Cancer of brain and nervous system,4220
CALIFORNIA,Cancer of breast,6399
CALIFORNIA,Cancer of bronchus; lung,9629
CALIFORNIA,Cancer of cervix,1580
CALIFORNIA,Cancer of colon,9195
CALIFORNIA,Cancer of esophagus,1176
CALIFORNIA,Cancer of head and neck,2883
CALIFORNIA,Cancer of kidney and renal pelvis,4710
CALIFORNIA,Cancer of liver and intrahepatic bile duct,3125
CALIFORNIA,Cancer of other female genital organs,476
CALIFORNIA,Cancer of other GI organs; peritoneum,2194
CALIFORNIA,Cancer of other male genital organs,129
CALIFORNIA,Cancer of other urinary organs,313
CALIFORNIA,Cancer of ovary,2787
CALIFORNIA,Cancer of pancreas,3593
CALIFORNIA,Cancer of prostate,6924
CALIFORNIA,Cancer of rectum and anus,4157
CALIFORNIA,Cancer of stomach,3020
CALIFORNIA,Cancer of testis,297
CALIFORNIA,Cancer of thyroid,2057
CALIFORNIA,Cancer of uterus,3567
CALIFORNIA,Cancer; other and unspecified primary,927
CALIFORNIA,Cancer; other respiratory and intrathoracic,188
CALIFORNIA,Cardiac and circulatory congenital anomalies,5739
CALIFORNIA,Cardiac arrest and ventricular fibrillation,2429
CALIFORNIA,Cardiac dysrhythmias,53021
CALIFORNIA,Cataract,26
CALIFORNIA,Chronic kidney disease,1348
CALIFORNIA,Chronic obstructive pulmonary disease and bronchiectasis,44989
CALIFORNIA,Chronic ulcer of skin,4815
CALIFORNIA,Coagulation and hemorrhagic disorders,4151
CALIFORNIA,Coma; stupor; and brain damage,857
CALIFORNIA,Complication of device; implant or graft,59468
CALIFORNIA,Complications of surgical procedures or medical care,48868
CALIFORNIA,Conditions associated with dizziness or vertigo,4420
CALIFORNIA,Conduction disorders,6149
CALIFORNIA,Congestive heart failure; nonhypertensive,75289
CALIFORNIA,Contraceptive and procreative management,80
CALIFORNIA,Coronary atherosclerosis and other heart disease,33707
CALIFORNIA,Crushing injury or internal injury,10710
CALIFORNIA,Cystic fibrosis,1193
CALIFORNIA,Deficiency and other anemia,15949
CALIFORNIA,"Delirium, dementia, and amnestic and other cognitive disorders",6795
CALIFORNIA,Developmental disorders,89
CALIFORNIA,Diabetes mellitus with complications,57534
CALIFORNIA,Diabetes mellitus without complication,527
CALIFORNIA,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,20185
CALIFORNIA,Digestive congenital anomalies,2169
CALIFORNIA,Diseases of mouth; excluding dental,2012
CALIFORNIA,Diseases of white blood cells,5397
CALIFORNIA,Disorders of lipid metabolism,142
CALIFORNIA,Disorders of teeth and jaw,3205
CALIFORNIA,"Disorders usually diagnosed in infancy, childhood, or adolescence",602
CALIFORNIA,Diverticulosis and diverticulitis,23845
CALIFORNIA,Early or threatened labor,19239
CALIFORNIA,Ectopic pregnancy,2306
CALIFORNIA,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1519
CALIFORNIA,Endometriosis,2240
CALIFORNIA,Epilepsy; convulsions,28074
CALIFORNIA,Esophageal disorders,13432
CALIFORNIA,Essential hypertension,4466
CALIFORNIA,Fetal distress and abnormal forces of labor,16627
CALIFORNIA,Fetopelvic disproportion; obstruction,6210
CALIFORNIA,Fever of unknown origin,3211
CALIFORNIA,Fluid and electrolyte disorders,34218
CALIFORNIA,Forceps delivery,296
CALIFORNIA,Fracture of lower limb,25802
CALIFORNIA,Fracture of neck of femur (hip),33300
CALIFORNIA,Fracture of upper limb,16933
CALIFORNIA,Gangrene,2515
CALIFORNIA,Gastritis and duodenitis,7974
CALIFORNIA,Gastroduodenal ulcer (except hemorrhage),3788
CALIFORNIA,Gastrointestinal hemorrhage,36121
CALIFORNIA,Genitourinary congenital anomalies,1099
CALIFORNIA,Genitourinary symptoms and ill-defined conditions,2972
CALIFORNIA,Glaucoma,115
CALIFORNIA,Gout and other crystal arthropathies,1452
CALIFORNIA,Headache; including migraine,6412
CALIFORNIA,Heart valve disorders,13827
CALIFORNIA,Hemolytic jaundice and perinatal jaundice,8104
CALIFORNIA,Hemorrhage during pregnancy; abruptio placenta; placenta previa,6396
CALIFORNIA,Hemorrhoids,2794
CALIFORNIA,Hepatitis,2607
CALIFORNIA,HIV infection,2866
CALIFORNIA,Hodgkin`s disease,447
CALIFORNIA,Hyperplasia of prostate,3810
CALIFORNIA,Hypertension with complications and secondary hypertension,39232
CALIFORNIA,Immunity disorders,545
CALIFORNIA,Immunizations and screening for infectious disease,202
CALIFORNIA,"Impulse control disorders, NEC",1050
CALIFORNIA,Induced abortion,416
CALIFORNIA,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),10613
CALIFORNIA,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),1385
CALIFORNIA,Inflammatory conditions of male genital organs,2445
CALIFORNIA,Inflammatory diseases of female pelvic organs,2861
CALIFORNIA,Influenza,5932
CALIFORNIA,Intestinal infection,18571
CALIFORNIA,Intestinal obstruction without hernia,34730
CALIFORNIA,Intracranial injury,27362
CALIFORNIA,Intrauterine hypoxia and birth asphyxia,337
CALIFORNIA,Joint disorders and dislocations; trauma-related,2358
CALIFORNIA,Late effects of cerebrovascular disease,13057
CALIFORNIA,Leukemias,5069
CALIFORNIA,Lung disease due to external agents,590
CALIFORNIA,Lymphadenitis,1425
CALIFORNIA,Maintenance chemotherapy; radiotherapy,18729
CALIFORNIA,Malaise and fatigue,4500
CALIFORNIA,Malignant neoplasm without specification of site,1110
CALIFORNIA,Malposition; malpresentation,16274
CALIFORNIA,Medical examination/evaluation,254
CALIFORNIA,Melanomas of skin,341
CALIFORNIA,Meningitis (except that caused by tuberculosis or sexually transmitted disease),3296
CALIFORNIA,Menopausal disorders,521
CALIFORNIA,Menstrual disorders,2822
CALIFORNIA,Miscellaneous mental health disorders,3335
CALIFORNIA,Mood disorders,110120
CALIFORNIA,Multiple myeloma,1862
CALIFORNIA,Multiple sclerosis,2001
CALIFORNIA,Mycoses,1947
CALIFORNIA,Nausea and vomiting,3191
CALIFORNIA,Neoplasms of unspecified nature or uncertain behavior,4289
CALIFORNIA,Nephritis; nephrosis; renal sclerosis,1446
CALIFORNIA,Nervous system congenital anomalies,1093
CALIFORNIA,Non-Hodgkin`s lymphoma,4294
CALIFORNIA,Noninfectious gastroenteritis,11026
CALIFORNIA,Nonmalignant breast conditions,1913
CALIFORNIA,Nonspecific chest pain,34797
CALIFORNIA,Nutritional deficiencies,1519
CALIFORNIA,Occlusion or stenosis of precerebral arteries,5882
CALIFORNIA,Open wounds of extremities,5086
CALIFORNIA,Open wounds of head; neck; and trunk,5093
CALIFORNIA,Osteoarthritis,100365
CALIFORNIA,Osteoporosis,43
CALIFORNIA,Other acquired deformities,8179
CALIFORNIA,Other aftercare,14845
CALIFORNIA,Other and ill-defined cerebrovascular disease,2499
CALIFORNIA,Other and ill-defined heart disease,1129
CALIFORNIA,Other and unspecified benign neoplasm,13315
